Time,ax,ay,AngleZ
 08:58:39.337,0.0254,0,-97.5201
 08:58:39.432,0.0332,-0.0049,-97.5146
 08:58:39.541,0.0044,-0.001,-97.5146
 08:58:39.635,0.0083,-0.001,-97.5146
 08:58:39.740,0.02,-0.0068,-97.5146
 08:58:39.834,0.0186,0,-97.4927
 08:58:39.960,-0.001,-0.0029,-97.4817
 08:58:40.025,0.0034,-0.0059,-97.4652
 08:58:40.137,0.0039,-0.0078,-97.4432
 08:58:40.234,0.0054,0.002,-97.4432
 08:58:40.329,0.001,-0.0044,-97.4487
 08:58:40.425,-0.0015,0.001,-97.4927
 08:58:40.549,-0.0059,-0.0024,-97.5146
 08:58:40.630,0.0049,-0.0039,-97.5476
 08:58:40.726,0.0034,-0.0073,-97.5861
 08:58:40.828,0.0073,0,-97.6135
 08:58:40.923,0.0029,-0.0034,-97.6465
 08:58:41.037,0.0054,-0.0024,-97.6959
 08:58:41.134,0.002,-0.0039,-97.7344
 08:58:41.230,-0.0059,-0.0054,-97.7783
 08:58:41.326,-0.0054,-0.001,-97.8168
 08:58:41.441,-0.0039,-0.0054,-97.8552
 08:58:41.536,0.0088,-0.0039,-97.8882
 08:58:41.633,0.0078,0,-97.9211
 08:58:41.730,-0.0112,-0.0054,-97.9486
 08:58:41.822,-0.0151,-0.0049,-97.9816
 08:58:41.933,-0.0103,-0.0044,-98.0145
 08:58:42.030,-0.0107,0,-98.0475
 08:58:42.122,-0.0093,-0.0039,-98.0804
 08:58:42.245,-0.0049,0.0054,-98.1134
 08:58:42.325,0.002,0,-98.1409
 08:58:42.433,0.0054,-0.0034,-98.1793
 08:58:42.533,0,0.0034,-98.2013
 08:58:42.623,0.0044,-0.0024,-98.2397
 08:58:42.723,0.002,-0.0059,-98.2727
 08:58:42.832,0,-0.0015,-98.3057
 08:58:42.924,-0.0029,-0.0044,-98.3441
 08:58:43.024,-0.0083,-0.0044,-98.3771
 08:58:43.120,-0.0132,-0.001,-98.41
 08:58:43.248,-0.0117,-0.001,-98.421
 08:58:43.327,-0.0049,-0.0034,-98.432
 08:58:43.423,-0.0063,-0.001,-98.432
 08:58:43.523,-0.0015,0,-98.4265
 08:58:43.618,0,-0.0005,-98.4155
 08:58:43.722,0.0024,-0.002,-98.41
 08:58:43.840,-0.0063,-0.0015,-98.3881
 08:58:43.921,-0.0059,0.0034,-98.3716
 08:58:44.015,0.0093,-0.0054,-98.3441
 08:58:44.127,0.0034,-0.0034,-98.3112
 08:58:44.221,-0.0063,-0.0015,-98.2837
 08:58:44.318,-0.0015,0.0024,-98.2782
 08:58:44.414,-0.0039,0.0029,-98.2617
 08:58:44.528,-0.001,-0.0049,-98.2507
 08:58:44.626,0.0024,0.0029,-98.2343
 08:58:44.725,0.0049,0.0029,-98.2288
 08:58:44.823,-0.0015,-0.0054,-98.2288
 08:58:44.926,-0.002,0.0005,-98.2178
 08:58:45.024,0.0044,0.0054,-98.2013
 08:58:45.122,0.0142,-0.0015,-98.1958
 08:58:45.224,0.0059,0.0024,-98.1848
 08:58:45.337,0.0093,-0.0024,-98.1738
 08:58:45.425,0.0083,-0.001,-98.1683
 08:58:45.521,0.0078,0,-98.1683
 08:58:45.616,-0.001,0.0005,-98.1683
 08:58:45.712,0.0029,0,-98.1683
 08:58:45.810,0.001,-0.001,-98.1683
 08:58:45.918,0.0049,0.0024,-98.1683
 08:58:46.012,0,0.0005,-98.1519
 08:58:46.123,0,-0.0015,-98.1409
 08:58:46.220,0.0063,0.0005,-98.1299
 08:58:46.345,-0.0039,-0.0005,-98.1189
 08:58:46.411,-0.0059,-0.0039,-98.1079
 08:58:46.520,-0.0117,0.0063,-98.1024
 08:58:46.614,-0.0137,-0.0073,-98.0914
 08:58:46.719,0.0078,0,-98.0804
 08:58:46.815,0.0073,0.0029,-98.0695
 08:58:46.943,-0.002,-0.0068,-98.064
 08:58:47.021,0.0034,0.0029,-98.0475
 08:58:47.107,0.0122,0.0015,-98.0475
 08:58:47.212,-0.0024,-0.0054,-98.0475
 08:58:47.307,-0.0088,0.0024,-98.031
 08:58:47.419,-0.001,-0.001,-98.0145
 08:58:47.523,-0.0083,-0.0088,-98.0035
 08:58:47.621,-0.0029,0.0034,-97.9816
 08:58:47.721,0.001,0,-97.9761
 08:58:47.820,0.0024,-0.0039,-97.9706
 08:58:47.921,0.0107,-0.0005,-97.9706
 08:58:48.015,0,-0.002,-97.9706
 08:58:48.112,-0.0054,-0.0039,-97.9706
 08:58:48.220,0,0.0054,-97.9596
 08:58:48.305,0.0137,0.0054,-97.9431
 08:58:48.418,0.0127,-0.0073,-97.9321
 08:58:48.513,0.0088,0.0181,-97.9156
 08:58:48.611,0.0112,-0.001,-97.8992
 08:58:48.706,0.0088,-0.0015,-97.8827
 08:58:48.830,0.0103,0.0132,-97.8607
 08:58:48.906,0.0156,-0.0078,-97.8552
